id;muscle_group_en;muscle_group_fr
c78d2c4f-c8d0-4b6f-986a-1e4c41208f9c;Back;Dos
c8484548-3866-4aed-8a98-8f617b5a50cd;Legs;Jambes
c8b28d49-5dc9-4c87-98e8-b5b2a9cd2f14;Full body;Corps complet
c8cf5980-6489-46b0-9cb1-563e4f370e00;Core;Abdos
c8f7ae47-024a-4da1-acf8-ff3019235d5a;Chest;Pectoraux
c9b800f1-b0fb-4e84-9c4b-bb3ad3f5e41f;Legs;Jambes
cbaded4d-76a5-46ea-9b6c-fc6e951e1d46;Arms;Bras
cbe92890-a11b-487c-8bd1-6394f0874d2c;Shoulders;Épaules
cc7a3910-1d33-48a2-9587-4248ec0b6cd0;Core;Abdos
cdec34e3-752e-4943-939e-a53057f46a7c;Legs;Jambes
ce728799-7a8b-4cec-bf41-d3bb398830f4;Back;Dos
ceea8dc3-465a-4253-b91c-39162619227a;Back;Dos
cfe1a658-6c07-49e0-88b6-e8d7ee8c7003;Chest;Pectoraux
cfe54fdd-5861-4c29-83bc-233538a49aaf;Legs;Jambes
d073704d-5888-4c08-b5d5-a1e0dd71327e;Legs;Jambes
d0937983-b826-4218-9104-7bcfa9ecd0b1;Legs;Jambes
d1c5e117-5091-4209-8e74-85483faaed00;Arms;Bras
d2e41dfb-32a3-4a95-a6c8-bd69bd24e990;Legs;Jambes
d3afc12d-3665-4845-be3a-2de12ad857c1;Shoulders;Épaules
d3c911d4-43ac-42bc-beed-84f171d7640d;Shoulders;Épaules
d3d6a468-dcd9-4c83-9998-af94feed8120;Back;Dos
d49012a2-0e09-47a2-b9b3-05084cc4e086;Back;Dos
d547ecbb-e654-4b30-989c-7729bf5820ea;Arms;Bras
d5626859-5de8-4db5-aaa1-7b37444e1ecc;Legs;Jambes
d5909296-f783-4af4-afc0-edea2b1f8920;Core;Abdos
d5d936c5-980d-4c3c-827a-d60428e4eeb9;Back;Dos
d5f6bc02-45cd-4c2e-b3c9-a4761b32bab0;Core;Abdos
d7b4421a-42e5-416d-a299-bfdff67fdcb5;Legs;Jambes
d7d4ddac-ed18-4b64-ab0b-8d7cdaa88a8d;Full body;Corps complet
d88dc9e1-4901-4b96-b9a1-76719d72fcfc;Back;Dos
daacb33e-36a1-4222-9264-1246e2383ba5;Core;Abdos
dac7130a-b22f-4452-8c43-b35e77464435;Arms;Bras
daea0056-38bf-4eee-9be5-ef7a9b9c11ab;Full body;Corps complet
dddc3cce-d370-4531-b0bb-429fe95db9a0;Legs;Jambes
ddfd0dd6-f89c-44fe-a38d-17842d865a7c;Chest;Pectoraux
de11660c-e720-4314-9429-6d825d275449;Full body;Corps complet
